date,min,max,median,q1,q3,stdev,count
2024-12-14T00:00:00.000Z,0.56,2.58,1.2,0.76,1.67,0.577,11
2024-12-15T00:00:00.000Z,0.56,2.04,0.78,0.67,1.05,0.444,24
2024-12-16T00:00:00.000Z,0.6,2.69,1.42,0.92,1.96,0.645,24
2024-12-17T00:00:00.000Z,0.42,36.47,1.54,0.69,2.78,9.203,24
2024-12-18T00:00:00.000Z,0.59,2.73,1.08,0.84,1.47,0.55,24
2024-12-19T00:00:00.000Z,0.55,1.92,0.89,0.64,1.18,0.44,24
2024-12-20T00:00:00.000Z,0.54,2.13,0.85,0.66,1.03,0.374,24
2024-12-21T00:00:00.000Z,0.54,2.64,1.17,0.79,2,0.669,24
2024-12-22T00:00:00.000Z,0.57,2.74,1.86,0.95,2.25,0.702,24
2024-12-23T00:00:00.000Z,0.62,2.71,1.15,0.85,1.7,0.555,24
2024-12-24T00:00:00.000Z,0.54,2.61,1.4,0.83,2.02,0.667,24
2024-12-25T00:00:00.000Z,0.62,2.76,1.83,1.05,2.31,0.643,24
2024-12-26T00:00:00.000Z,0.57,2.46,1.03,0.78,1.55,0.499,24
2024-12-27T00:00:00.000Z,0.56,2.7,0.92,0.69,1.24,0.532,24
2024-12-28T00:00:00.000Z,0.57,2.72,1.39,0.83,1.83,0.625,24
2024-12-29T00:00:00.000Z,0.62,2.83,1.25,0.8,1.84,0.62,21
2024-12-30T00:00:00.000Z,0.55,2.89,1.19,0.7,1.58,0.607,22
2024-12-31T00:00:00.000Z,0.61,2.39,0.95,0.78,1.42,0.558,24
2025-01-01T00:00:00.000Z,0.63,1.63,0.98,0.74,1.19,0.313,24
2025-01-02T00:00:00.000Z,0.62,2.31,1.42,1,1.86,0.515,24
2025-01-03T00:00:00.000Z,0.61,2.54,0.9,0.7,1.02,0.582,24
2025-01-04T00:00:00.000Z,0.56,1.96,0.99,0.78,1.31,0.423,24
2025-01-05T00:00:00.000Z,0.56,2.82,1.25,0.86,1.97,0.637,24
2025-01-06T00:00:00.000Z,0.56,2.09,0.85,0.75,1.04,0.368,24
2025-01-07T00:00:00.000Z,0.55,2.44,0.85,0.73,1.34,0.484,24
2025-01-08T00:00:00.000Z,0.57,2.37,0.95,0.69,1.31,0.529,24
2025-01-09T00:00:00.000Z,0.74,2.5,1.15,0.84,1.84,0.556,24
2025-01-10T00:00:00.000Z,0.57,2.59,1.01,0.75,1.6,0.588,24
2025-01-11T00:00:00.000Z,0.66,2.46,1.24,1,1.65,0.489,24
2025-01-12T00:00:00.000Z,0.54,3.06,1.21,0.88,1.85,0.708,24
2025-01-13T00:00:00.000Z,0.55,2.75,1.57,0.91,2.04,0.674,22
2025-01-14T00:00:00.000Z,0.63,2.57,0.8,0.7,1.06,0.573,19
2025-01-15T00:00:00.000Z,0.54,3.06,0.77,0.63,1.32,0.747,24
2025-01-16T00:00:00.000Z,0,2.9,0,0,2.19,1.122,24
2025-01-17T00:00:00.000Z,0,0,0,0,0,0,24
2025-01-18T00:00:00.000Z,0,0,0,0,0,0,24
2025-01-19T00:00:00.000Z,0,0,0,0,0,0,24
2025-01-20T00:00:00.000Z,0,0,0,0,0,0,24
2025-01-21T00:00:00.000Z,0,0,0,0,0,0,24
2025-01-22T00:00:00.000Z,0,0,0,0,0,0,24
2025-01-23T00:00:00.000Z,0,0,0,0,0,0,24
2025-01-24T00:00:00.000Z,0,0,0,0,0,0,24
2025-01-25T00:00:00.000Z,0,0,0,0,0,0,23
2025-01-26T00:00:00.000Z,0,0,0,0,0,0,22
2025-01-27T00:00:00.000Z,0,0,0,0,0,0,24
2025-01-28T00:00:00.000Z,0,0,0,0,0,0,24
2025-01-29T00:00:00.000Z,0,0,0,0,0,0,24
2025-01-30T00:00:00.000Z,0,0,0,0,0,0,20
2025-01-31T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-01T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-02T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-03T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-04T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-05T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-06T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-07T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-08T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-09T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-10T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-11T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-12T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-13T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-14T00:00:00.000Z,0,0,0,0,0,0,23
2025-02-15T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-16T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-17T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-18T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-19T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-20T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-21T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-22T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-23T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-24T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-25T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-26T00:00:00.000Z,0,0,0,0,0,0,24
2025-02-27T00:00:00.000Z,0,0,0,0,0,0,18
2025-02-28T00:00:00.000Z,0,0,0,0,0,0,6
2025-03-01T00:00:00.000Z,0,0,0,0,0,0,18
2025-03-02T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-03T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-04T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-05T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-06T00:00:00.000Z,0,0,0,0,0,0,6
2025-03-07T00:00:00.000Z,0,0,0,0,0,0,19
2025-03-08T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-09T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-10T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-11T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-12T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-13T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-14T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-15T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-16T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-17T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-18T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-19T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-20T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-21T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-22T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-23T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-24T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-25T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-26T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-27T00:00:00.000Z,0,0,0,0,0,0,10
2025-03-28T00:00:00.000Z,0,0,0,0,0,0,19
2025-03-29T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-30T00:00:00.000Z,0,0,0,0,0,0,24
2025-03-31T00:00:00.000Z,0,0,0,0,0,0,24
2025-04-01T00:00:00.000Z,0,0,0,0,0,0,24
2025-04-02T00:00:00.000Z,0,0,0,0,0,0,24
