date,min,max,median,q1,q3,stdev,count
2024-12-14T00:00:00.000Z,16,136,43,32,97.5,38.769,129
2024-12-15T00:00:00.000Z,1,115,31,2,42,21.868,123
2024-12-16T00:00:00.000Z,2,57,26.5,4,47,20.348,74
2024-12-17T00:00:00.000Z,11,73,33.5,24,44,14.692,134
2024-12-18T00:00:00.000Z,12,132,61.5,30.5,111.5,39.167,140
2024-12-19T00:00:00.000Z,20,97,48,29,67,22.29,152
2024-12-20T00:00:00.000Z,1,27,9,6,12,5.281,106
2024-12-21T00:00:00.000Z,10,79,36,21,64,22.136,155
2024-12-22T00:00:00.000Z,12,64,33,24,58.5,18.02,113
2024-12-23T00:00:00.000Z,38,73,54,49,62,9.044,123
2024-12-24T00:00:00.000Z,25,105,54,41,91,25.013,140
2024-12-25T00:00:00.000Z,50,168,100,83.5,132.5,31.075,144
2024-12-26T00:00:00.000Z,46,142,81,67,97,22.082,217
2024-12-27T00:00:00.000Z,31,167,64,49,139,44.895,151
2024-12-28T00:00:00.000Z,34,258,98.5,61,154,61.833,182
2024-12-29T00:00:00.000Z,35,153,62,52,102,34.126,130
2024-12-30T00:00:00.000Z,10,128,52,35,95,32.171,139
2024-12-31T00:00:00.000Z,26,111,54,42,67,18.811,157
2025-01-01T00:00:00.000Z,13,85,42,37,52,12.864,145
2025-01-02T00:00:00.000Z,13,105,70,26,89,31.566,145
2025-01-03T00:00:00.000Z,38,118,77,61,87,21.098,154
2025-01-04T00:00:00.000Z,0,56,33,17,44,15.081,105
2025-01-05T00:00:00.000Z,9,43,22,11,33.5,12.822,100
2025-01-06T00:00:00.000Z,30,65,52,44,57,9.198,124
2025-01-07T00:00:00.000Z,0,74,48,28,59,18.145,143
2025-01-08T00:00:00.000Z,0,39,14,3,31,13.632,113
2025-01-09T00:00:00.000Z,7,90,35,19.5,48,20.474,137
2025-01-10T00:00:00.000Z,22,47,31,28,34.5,5.484,113
2025-01-11T00:00:00.000Z,23,168,58,27,116,50.713,134
2025-01-12T00:00:00.000Z,69,241,144.5,98,180,49.936,194
2025-01-13T00:00:00.000Z,53,163,105,71,137,34.286,153
2025-01-14T00:00:00.000Z,77,223,150.5,122,180,37.141,144
2025-01-15T00:00:00.000Z,50,222,148,133,198,50.78,183
2025-01-16T00:00:00.000Z,13,229,97,42,132,57.053,174
2025-01-17T00:00:00.000Z,52,113,89,60,100,19.261,157
2025-01-18T00:00:00.000Z,30,248,101,53,148,66.381,172
2025-01-19T00:00:00.000Z,22,55,38,27,40,7.352,114
2025-01-20T00:00:00.000Z,31,115,69,43,102,29.632,119
2025-01-21T00:00:00.000Z,16,107,67,46.5,74,24.294,149
2025-01-22T00:00:00.000Z,0,34,11,5,20,9.427,122
2025-01-23T00:00:00.000Z,1,18,4,3,7,4.493,99
2025-01-24T00:00:00.000Z,6,65,23,9.5,38,16.123,120
2025-01-25T00:00:00.000Z,11,91,32.5,21,46,20.524,110
2025-01-26T00:00:00.000Z,17,211,79,28.5,154,67.956,168
2025-01-27T00:00:00.000Z,0,205,143.5,108,162,40.052,210
2025-01-28T00:00:00.000Z,0,172,65.5,43,118,45.414,176
2025-01-29T00:00:00.000Z,18,31,23,21,26,3.805,86
2025-01-30T00:00:00.000Z,9,33,15,12,18,6.939,79
2025-01-31T00:00:00.000Z,3,31,12,10,22,8.029,104
2025-02-01T00:00:00.000Z,0,55,15,10,43,17.628,122
2025-02-02T00:00:00.000Z,37,151,104.5,88,119,29.887,106
2025-02-03T00:00:00.000Z,48,121,70,58,79.5,18.873,92
2025-02-04T00:00:00.000Z,55,79,76.5,64.5,79,9.284,16
2025-02-05T00:00:00.000Z,44,94,70,54.5,83,14.712,137
2025-02-06T00:00:00.000Z,58,141,79,68,109,25.371,125
2025-02-07T00:00:00.000Z,70,161,112,87,133,27.279,134
2025-02-08T00:00:00.000Z,54,171,116,76.5,146.5,37.954,121
2025-02-09T00:00:00.000Z,22,102,76,60.5,91,21.26,116
2025-02-10T00:00:00.000Z,11,85,19,16,46,21.238,99
2025-02-11T00:00:00.000Z,33,84,50,44,64,12.866,115
2025-02-12T00:00:00.000Z,23,85,39,29,68,20.723,126
2025-02-13T00:00:00.000Z,30,70,54,39,64,12.666,81
2025-02-14T00:00:00.000Z,37,85,49,44,64,13.78,75
2025-02-15T00:00:00.000Z,16,74,43,27,46,14.152,116
2025-02-16T00:00:00.000Z,23,73,42,33,49,12.473,104
2025-02-17T00:00:00.000Z,21,77,48,35,67,16.667,119
2025-02-18T00:00:00.000Z,49,103,66.5,61,77,13.651,116
2025-02-19T00:00:00.000Z,47,159,100,55,136,38.937,149
2025-02-20T00:00:00.000Z,53,144,98,69,122.5,27.967,169
2025-02-21T00:00:00.000Z,36,140,64,52,98,30.05,144
2025-02-22T00:00:00.000Z,51,203,150,64,169,48.815,122
2025-02-23T00:00:00.000Z,25,222,91,59.5,175.5,59.526,197
2025-02-24T00:00:00.000Z,14,92,55,44,82,19.926,142
2025-02-25T00:00:00.000Z,13,60,32,20,42,12.33,103
2025-02-26T00:00:00.000Z,1,45,10,4,23,10.413,99
2025-02-27T00:00:00.000Z,9,46,20.5,16,32,10.707,82
2025-02-28T00:00:00.000Z,34,41,39,34,39,2.749,16
2025-03-01T00:00:00.000Z,27,83,59,36,68,16.665,89
2025-03-02T00:00:00.000Z,21,114,53,43,86,26.471,147
2025-03-03T00:00:00.000Z,2,36,8,3,15,9.334,94
2025-03-04T00:00:00.000Z,4,32,12,7,19,7.306,98
2025-03-05T00:00:00.000Z,15,91,40,25,55,17.365,127
2025-03-06T00:00:00.000Z,24,52,32,27.5,35.5,8.958,37
2025-03-07T00:00:00.000Z,1,32,5,3,14,10.27,72
2025-03-08T00:00:00.000Z,1,49,28,4.5,40,16.954,96
2025-03-09T00:00:00.000Z,2,43,12,5,20,10.773,92
2025-03-10T00:00:00.000Z,4,118,37.5,12,89,38.824,122
2025-03-11T00:00:00.000Z,7,75,24,13,33.5,17.042,92
2025-03-12T00:00:00.000Z,3,29,8,6,21,7.639,76
2025-03-13T00:00:00.000Z,8,58,30,21,54,16.059,104
2025-03-14T00:00:00.000Z,6,66,33,19.5,49,17.947,124
2025-03-15T00:00:00.000Z,13,51,27,25,34,7.463,118
2025-03-16T00:00:00.000Z,5,45,22.5,14,31,11.51,114
2025-03-17T00:00:00.000Z,4,49,25,12,36,14.215,121
2025-03-18T00:00:00.000Z,5,36,22,14.5,31,10.019,113
2025-03-19T00:00:00.000Z,10,67,26,20.5,43,15.393,133
2025-03-20T00:00:00.000Z,12,41,25,18,33,8.392,110
2025-03-21T00:00:00.000Z,12,43,20,14,35,10.372,109
2025-03-22T00:00:00.000Z,7,94,45,25,61,21.827,139
2025-03-23T00:00:00.000Z,4,71,18,9,59.5,24.334,113
2025-03-24T00:00:00.000Z,1,25,10,2,12,6.511,102
2025-03-25T00:00:00.000Z,1,12,4,2,6,3.345,92
2025-03-26T00:00:00.000Z,2,29,8,4,22,9.396,97
2025-03-27T00:00:00.000Z,5,17,9,7.5,12,3.627,33
2025-03-28T00:00:00.000Z,6,11,10,6,10,2.093,11
2025-03-29T00:00:00.000Z,11,30,19,17,28,6.682,50
2025-03-30T00:00:00.000Z,4,24,9.5,8,19.5,6.72,44
2025-03-31T00:00:00.000Z,1,20,8,4,18,6.438,71
2025-04-01T00:00:00.000Z,2,26,8,5,14,7.046,79
2025-04-02T00:00:00.000Z,6,19,12,9.5,14,3.826,56
2025-04-03T00:00:00.000Z,3,23,10,6,11,6.367,80
2025-04-04T00:00:00.000Z,2,26,5,3,11.5,6.698,92
2025-04-05T00:00:00.000Z,2,4,2.5,2,3,0.773,52
2025-04-06T00:00:00.000Z,3,35,15,5,22,10.129,68
2025-04-07T00:00:00.000Z,0,14,5,3,7,3.354,86
2025-04-08T00:00:00.000Z,3,25,9,7,13,4.655,101
2025-04-09T00:00:00.000Z,4,19,7,6,13,4.507,102
2025-04-10T00:00:00.000Z,3,12,5,4,9,3.12,75
2025-04-11T00:00:00.000Z,3,22,9.5,4,16,6.226,102
2025-04-12T00:00:00.000Z,3,12,6,5,7,2.397,90
2025-04-13T00:00:00.000Z,3,33,7,5,17.5,7.692,101
2025-04-14T00:00:00.000Z,3,16,7,5,9,3.039,74
2025-04-15T00:00:00.000Z,3,12,6,5,9,2.507,69
2025-04-16T00:00:00.000Z,1,9,4,2,6,2.439,89
2025-04-17T00:00:00.000Z,1,23,9,7,15,6.212,92
2025-04-18T00:00:00.000Z,1,8,4,2,4,1.887,66
2025-04-19T00:00:00.000Z,1,8,4,2.5,4,2.005,49
2025-04-20T00:00:00.000Z,2,16,5,3,10,4.695,76
2025-04-21T00:00:00.000Z,3,29,13,9,19.5,7.166,85
2025-04-22T00:00:00.000Z,2,10,3.5,2,5,2.528,86
2025-04-23T00:00:00.000Z,1,21,8,4,13,5.009,90
2025-04-24T00:00:00.000Z,4,20,7,5,13,4.758,91
2025-04-25T00:00:00.000Z,3,15,6,4,10,2.97,99
2025-04-26T00:00:00.000Z,4,12,6,5,7,2.419,66
2025-04-27T00:00:00.000Z,2,15,5,3,6,3.751,82
2025-04-28T00:00:00.000Z,2,16,6,5,10,3.411,82
2025-04-29T00:00:00.000Z,3,12,6,6,11,3.021,80
