date,min,max,median,q1,q3,stdev,count
2024-12-14T00:00:00.000Z,1.2,23.33,4.21,2.04,15.53,7.622,11
2024-12-15T00:00:00.000Z,0.59,124.46,5.01,1.79,10.91,34.577,20
2024-12-16T00:00:00.000Z,1.43,16.48,6.75,4.61,12.84,4.58,24
2024-12-17T00:00:00.000Z,0.93,42.62,5.66,2.57,34.19,15.768,24
2024-12-18T00:00:00.000Z,0.51,82.42,4.8,3.14,7.71,20.691,24
2024-12-19T00:00:00.000Z,0.96,70.95,5.01,2.93,24.01,21.565,24
2024-12-20T00:00:00.000Z,0.94,9.69,3.54,2.61,5.51,2.53,24
2024-12-21T00:00:00.000Z,1.84,21.96,5.78,3.68,9.98,4.852,24
2024-12-22T00:00:00.000Z,1.18,53.88,10.01,5.52,19.12,14.673,24
2024-12-23T00:00:00.000Z,0.69,66.29,19.32,10.77,56.78,23.673,24
2024-12-24T00:00:00.000Z,6.47,55.97,24.59,13.41,48.41,17.31,24
2024-12-25T00:00:00.000Z,2.89,100.65,42.59,8.94,92.13,38.155,24
2024-12-26T00:00:00.000Z,0.86,83.72,5.74,1.47,35.92,26.927,24
2024-12-27T00:00:00.000Z,0.83,70.9,3.28,1.47,6.04,14.739,24
2024-12-28T00:00:00.000Z,0.9,74.69,18.61,2.93,38.01,24.953,24
2024-12-29T00:00:00.000Z,0.49,89.85,15.89,5.98,40.46,26.489,21
2024-12-30T00:00:00.000Z,1.17,38.22,7.39,5.86,10.42,8.227,22
2024-12-31T00:00:00.000Z,3.4,69.2,16.82,10.37,30.5,18.775,24
2025-01-01T00:00:00.000Z,3.04,149.61,17.48,7.19,41.21,45.419,24
2025-01-02T00:00:00.000Z,2.57,88.97,5.11,3.71,12.74,17.686,23
2025-01-03T00:00:00.000Z,1.96,82.72,9.35,3.5,20.26,22.829,24
2025-01-04T00:00:00.000Z,3.47,59.6,21.23,8.44,36.63,17.155,24
2025-01-05T00:00:00.000Z,5.09,39.65,15.19,8.69,20.03,9.106,24
2025-01-06T00:00:00.000Z,2.81,64.64,12.76,8.8,33.76,19.08,24
2025-01-07T00:00:00.000Z,1.18,99.22,21.76,2.46,78.42,38.53,24
2025-01-08T00:00:00.000Z,0.61,10.11,2.6,1.99,6.11,2.745,24
2025-01-09T00:00:00.000Z,1.7,29.81,9.43,5.12,25.74,10.218,24
2025-01-10T00:00:00.000Z,2.09,44.68,15.27,9.01,22.41,12.899,24
2025-01-11T00:00:00.000Z,1.11,58.81,7.71,2.43,26.59,19.437,24
2025-01-12T00:00:00.000Z,0.97,100.93,16.53,3.5,62.89,34.346,24
2025-01-13T00:00:00.000Z,0.62,113.49,15.7,3.66,91.24,41.87,22
2025-01-14T00:00:00.000Z,0.72,180.29,11.21,2.35,92.87,60.653,18
2025-01-15T00:00:00.000Z,0.57,51.43,2.27,1.44,4.3,12.765,24
2025-01-16T00:00:00.000Z,1.35,13.98,4.69,2.8,7.67,3.116,24
2025-01-17T00:00:00.000Z,0.56,61.66,7.34,3.55,32.24,17.908,24
2025-01-18T00:00:00.000Z,2.92,33.9,9.44,6.98,17.07,8.863,24
2025-01-19T00:00:00.000Z,3.56,52.64,35.1,10.58,45.71,17.419,24
2025-01-20T00:00:00.000Z,0.82,50.15,36.04,4.53,44.97,19.193,24
2025-01-21T00:00:00.000Z,1.78,107.26,16.39,4.72,55.34,34.134,24
2025-01-22T00:00:00.000Z,1.42,21.92,4.36,3.56,8.9,5.326,24
2025-01-23T00:00:00.000Z,2.11,12.95,7.62,5.09,8.83,2.807,24
2025-01-24T00:00:00.000Z,8.3,38.67,20.47,13.16,29.23,8.977,24
2025-01-25T00:00:00.000Z,3.87,52.14,11.79,7.7,42.3,16.738,23
2025-01-26T00:00:00.000Z,0.77,53.09,10.4,5.53,33.58,17.91,22
2025-01-27T00:00:00.000Z,0.81,24.88,3.33,2.34,8.11,6.824,24
2025-01-28T00:00:00.000Z,1.32,67.25,9.76,5.41,14.27,19.764,24
2025-01-29T00:00:00.000Z,7.69,32.25,19.48,15.63,22.5,6.469,24
2025-01-30T00:00:00.000Z,6.37,20.47,10.11,8.27,14.32,4.211,20
2025-01-31T00:00:00.000Z,4.09,20.47,9.51,8.03,12.08,3.678,24
2025-02-01T00:00:00.000Z,5.6,31.37,14.88,8.11,21.75,7.854,24
2025-02-02T00:00:00.000Z,3.26,70.31,32.64,13.3,57.18,23.104,24
2025-02-03T00:00:00.000Z,4.13,121.43,38.69,10.87,74.38,35.099,24
2025-02-04T00:00:00.000Z,6.37,39.7,24.72,12.17,36.29,11.735,24
2025-02-05T00:00:00.000Z,2.02,100.31,21.8,7.88,85.12,38.433,24
2025-02-06T00:00:00.000Z,2.5,106.37,11.57,4.47,74.19,40.471,24
2025-02-07T00:00:00.000Z,1.53,147.19,18.89,7.06,102.08,48.613,24
2025-02-08T00:00:00.000Z,5.08,87.58,32.36,9.81,73.04,30.051,24
2025-02-09T00:00:00.000Z,13.48,112.22,80.75,41.3,94.46,33.207,24
2025-02-10T00:00:00.000Z,9.42,80.41,27.81,18.05,42.42,17.223,24
2025-02-11T00:00:00.000Z,7.25,73.81,35.46,14.62,66.58,24.496,20
2025-02-12T00:00:00.000Z,14.13,51.63,27.46,21.03,31.53,9.183,24
2025-02-13T00:00:00.000Z,24.02,51.44,42.8,28.62,45.97,8.788,16
2025-02-14T00:00:00.000Z,17.59,62.34,43.07,39.97,44.91,9.855,18
2025-02-15T00:00:00.000Z,12.7,55.27,19.46,14.61,34.18,12.395,24
2025-02-16T00:00:00.000Z,9.66,75.73,39.86,32.21,56.94,19.766,24
2025-02-17T00:00:00.000Z,10.18,69.12,38.65,28.43,44.41,17.079,24
2025-02-18T00:00:00.000Z,5.51,96.14,40.64,11.95,55.82,27.323,24
2025-02-19T00:00:00.000Z,2.62,67.98,20.21,7.69,43.84,22.301,24
2025-02-20T00:00:00.000Z,2.94,118.98,28.48,11.01,46.22,26.878,23
2025-02-21T00:00:00.000Z,8.53,68.7,22.11,12.68,44.83,19.466,24
2025-02-22T00:00:00.000Z,0.76,78.22,26.91,5.59,62.44,28.849,24
2025-02-23T00:00:00.000Z,0.47,92.96,3.73,1.6,54.29,32.1,24
2025-02-24T00:00:00.000Z,2.19,52.25,23.61,12.1,43.85,16.547,24
2025-02-25T00:00:00.000Z,2.25,36.04,19.55,10.25,26.92,9.329,24
2025-02-26T00:00:00.000Z,0.83,11.94,5.67,2.24,8.8,3.542,24
2025-02-27T00:00:00.000Z,1.54,29.18,14.63,8.69,27.85,9.848,18
2025-02-28T00:00:00.000Z,11.64,44.36,12.84,12.04,25.11,11.941,6
2025-03-01T00:00:00.000Z,3.47,47.17,34.5,9.43,43.21,16.245,18
2025-03-02T00:00:00.000Z,13.83,60.95,34.56,28.9,40.45,11.462,24
2025-03-03T00:00:00.000Z,1.86,32.79,7.46,3.05,12.43,8.847,24
2025-03-04T00:00:00.000Z,5.57,14.92,8.75,6.95,9.69,2.376,24
2025-03-05T00:00:00.000Z,1.84,26.51,12.62,6.47,14.98,6.33,24
2025-03-06T00:00:00.000Z,0.75,7.97,3.67,2.25,4.17,2.206,6
2025-03-07T00:00:00.000Z,0.61,15.68,8.13,2.64,11.67,4.781,19
2025-03-08T00:00:00.000Z,0.78,10.28,2.98,1.97,5.42,2.572,24
2025-03-09T00:00:00.000Z,0.97,13.19,4.86,2.49,8.93,3.833,24
2025-03-10T00:00:00.000Z,0.86,21.36,8.25,2.13,14.9,7.201,24
2025-03-11T00:00:00.000Z,1.1,22.56,13.9,5.4,18.23,6.971,24
2025-03-12T00:00:00.000Z,7.35,22.31,12.34,9.39,13.76,3.627,24
2025-03-13T00:00:00.000Z,5.92,36.5,15.24,8.57,24.48,9.51,24
2025-03-14T00:00:00.000Z,3.87,37.83,16.16,5.8,31.67,12.623,24
2025-03-15T00:00:00.000Z,1.3,42.7,11.66,6.79,21.46,10.618,24
2025-03-16T00:00:00.000Z,1.64,13.98,8.69,4.62,10.3,3.627,24
2025-03-17T00:00:00.000Z,0.82,14.01,6.44,2.68,8.99,3.644,24
2025-03-18T00:00:00.000Z,0.86,31.08,7.43,3.03,9.1,8.105,24
2025-03-19T00:00:00.000Z,1.08,32.2,8.28,2.44,20.67,10.081,24
2025-03-20T00:00:00.000Z,0.69,24.71,4.32,2.04,16.37,7.917,24
2025-03-21T00:00:00.000Z,0.7,15.13,4.16,1.98,10.27,4.845,24
2025-03-22T00:00:00.000Z,4.3,55.65,15.53,12.18,27.85,15.254,24
2025-03-23T00:00:00.000Z,3.53,59.25,20.3,12.06,23.94,12.491,24
2025-03-24T00:00:00.000Z,1.46,16.07,10.19,7.89,11.59,3.741,24
2025-03-25T00:00:00.000Z,2,13.64,6.73,4.07,9.85,3.323,24
