date,min,max,median,q1,q3,stdev,count
2024-12-14T00:00:00.000Z,85.4,188.36,120.79,105,158.36,32.879,7
2024-12-15T00:00:00.000Z,4.57,45.79,30.07,17.79,39.47,12.19,15
2024-12-16T00:00:00.000Z,3.07,134.21,49.22,17.39,113.43,48.651,14
2024-12-17T00:00:00.000Z,19.39,54.33,31.93,27.14,48.86,11.475,15
2024-12-18T00:00:00.000Z,14.64,235.64,68.7,36.22,115.47,58.758,16
2024-12-19T00:00:00.000Z,21.8,98.71,64.03,35.72,87.07,26.171,14
2024-12-20T00:00:00.000Z,4.13,66.13,22.33,17,37.07,15.554,15
2024-12-21T00:00:00.000Z,11.93,228.07,63,26.93,102.64,59.533,15
2024-12-22T00:00:00.000Z,25.2,163.08,101.64,33.71,150.4,56.562,14
2024-12-23T00:00:00.000Z,45.79,150.72,76.47,64.7,124.73,34.089,14
2024-12-24T00:00:00.000Z,39.14,233.8,75.23,42.42,170.65,75.078,12
2024-12-25T00:00:00.000Z,64.56,371.07,167.57,77.79,271.79,98.369,15
2024-12-26T00:00:00.000Z,54.73,243.07,94.08,60.79,178.8,60.79,15
2024-12-27T00:00:00.000Z,56.33,323.33,127.57,65.36,187.6,95.705,14
2024-12-28T00:00:00.000Z,33.93,407,163.83,67.2,305.29,134.752,14
2024-12-29T00:00:00.000Z,50.93,341.86,134.87,62.27,150.93,76.152,11
2024-12-30T00:00:00.000Z,10.43,291.93,80.5,25.27,130.4,85.245,14
2024-12-31T00:00:00.000Z,22.47,170.36,100.13,40.21,123.33,44.989,15
2025-01-01T00:00:00.000Z,108.33,108.33,108.33,108.33,108.33,0,1
2025-01-07T00:00:00.000Z,20.6,80.64,57,27.93,66.79,21.497,7
2025-01-08T00:00:00.000Z,3.79,51.33,16.53,5.6,32,15.495,15
2025-01-09T00:00:00.000Z,19.86,127.07,69.73,26.62,83.2,35.974,15
2025-01-10T00:00:00.000Z,29.71,51.14,36.93,34.22,42.84,5.835,13
2025-01-11T00:00:00.000Z,28,281.43,91.5,41.07,127.67,76.072,14
2025-01-12T00:00:00.000Z,84.71,368.5,167.47,107.57,237.8,87.473,14
2025-01-13T00:00:00.000Z,56.5,339,89.01,62.62,190.97,93.619,12
2025-01-14T00:00:00.000Z,105.13,322.33,167,117.97,247.43,69.312,13
2025-01-15T00:00:00.000Z,98.57,505.33,183.47,132.16,227.97,118.286,13
2025-01-16T00:00:00.000Z,15.21,144.08,50.95,19.29,91.29,42.684,14
2025-01-17T00:00:00.000Z,29.14,216.07,74.56,40.07,91.07,48.087,15
2025-01-18T00:00:00.000Z,25.07,167.21,39.7,32.93,100,45.141,14
2025-01-19T00:00:00.000Z,27.64,82.77,38.85,31.46,42.07,13.599,14
2025-01-20T00:00:00.000Z,32.13,127.43,53.57,36.44,88.82,30.158,13
2025-01-21T00:00:00.000Z,17,113.93,63.79,27.14,73.5,27.975,15
2025-01-22T00:00:00.000Z,1.12,36.36,10,3.64,20.67,10.929,15
2025-01-23T00:00:00.000Z,4.76,73.29,12.73,6.15,42.65,21.92,13
2025-01-24T00:00:00.000Z,14.93,133.87,44.22,19.6,88.86,39.945,14
2025-01-25T00:00:00.000Z,24,104,53.29,33.53,82.4,27.495,14
2025-01-26T00:00:00.000Z,26.21,353.29,98.24,30.94,204.5,110.473,12
2025-01-27T00:00:00.000Z,67.53,237.14,143.5,81.58,176.14,49.058,13
2025-01-28T00:00:00.000Z,26.47,292.93,61.02,30.5,88.07,76.027,14
