date,min,max,median,q1,q3,stdev,count
2024-12-14T00:00:00.000Z,2.15,72.45,20.55,13.98,25.53,10.649,481
2024-12-15T00:00:00.000Z,0.6,58.58,7,1.7,15.25,9.773,539
2024-12-16T00:00:00.000Z,0.7,36.92,12.44,7.86,19.38,8.444,460
2024-12-17T00:00:00.000Z,1.33,62.88,16.38,9.14,24.24,8.509,497
2024-12-18T00:00:00.000Z,0.32,57,9.98,3.5,30.2,15.674,485
2024-12-19T00:00:00.000Z,1.52,90.03,4.05,2.92,56.8,27.888,235
2024-12-20T00:00:00.000Z,0.5,25.42,3.64,2.08,6.6,3.766,430
2024-12-21T00:00:00.000Z,0.93,65.06,10.6,7.63,15.88,8.362,508
2024-12-22T00:00:00.000Z,2.47,92.8,35.09,11.99,54.02,22.065,524
2024-12-23T00:00:00.000Z,26.52,72.18,47.97,43.66,56.41,9.877,325
2025-01-20T00:00:00.000Z,5.22,7.5,6.13,5.22,6.83,0.836,5
2025-01-21T00:00:00.000Z,3.25,99.32,34.56,14.15,82,33.31,498
2025-01-22T00:00:00.000Z,0.6,38.5,5.05,2.15,9.44,7.01,576
2025-01-23T00:00:00.000Z,0.7,14.9,3.7,2.15,5.09,2.025,541
2025-01-24T00:00:00.000Z,2.1,35.6,12.45,7.6,19.1,7.439,485
2025-01-25T00:00:00.000Z,7.45,65.68,19.89,13.13,27.73,13.893,357
2025-01-26T00:00:00.000Z,0.45,28.75,9.13,6.99,17.89,6.587,217
2025-01-27T00:00:00.000Z,0.25,107.2,6.7,2.27,29.55,33.589,483
2025-01-28T00:00:00.000Z,1.23,67.47,28.52,13.43,47.56,18.946,565
2025-01-29T00:00:00.000Z,9.82,30.42,18.73,14.44,22.6,5.046,536
2025-01-30T00:00:00.000Z,3.33,30.02,12.26,6.63,16.75,6.18,394
2025-01-31T00:00:00.000Z,2.27,26.4,9.19,5.67,12.37,5.333,452
2025-02-01T00:00:00.000Z,2.63,67.56,29.58,20.17,37.97,13.035,350
2025-02-02T00:00:00.000Z,6.68,79.9,49.92,43.45,59.78,15.128,462
2025-02-03T00:00:00.000Z,30.25,99.47,55,50.15,61.33,13.459,563
2025-02-04T00:00:00.000Z,12.68,64.68,30.48,24.38,40.7,12.299,567
2025-02-05T00:00:00.000Z,13.18,88.88,50.85,30.94,63.57,19.816,565
2025-02-06T00:00:00.000Z,13.7,212.82,63.95,39,76.93,24.75,579
2025-02-07T00:00:00.000Z,19.82,107.63,78.23,47.83,85.13,21.465,534
2025-02-08T00:00:00.000Z,29.02,100.6,66.06,52.78,75.25,14.884,525
2025-02-09T00:00:00.000Z,20.55,112.32,67.72,53.17,86.38,19.861,531
2025-02-10T00:00:00.000Z,10.48,65.78,23.28,17.64,27.85,11.611,554
2025-02-11T00:00:00.000Z,20.63,68.38,40.79,36.84,55.35,11.205,289
2025-02-12T00:00:00.000Z,16.92,83.28,30.75,25.1,41.3,16.383,490
2025-02-13T00:00:00.000Z,21,68.81,40.74,35.69,52,12.01,488
2025-02-14T00:00:00.000Z,32.15,66.05,48.46,44.99,52.42,6.013,288
2025-02-15T00:00:00.000Z,9.75,65.22,18.38,15.13,38.5,15.562,395
2025-02-16T00:00:00.000Z,19.95,58.17,33.28,29.85,38.67,6.857,327
2025-02-17T00:00:00.000Z,18.89,62.75,36.75,31.34,43.72,8.891,425
2025-02-18T00:00:00.000Z,14.7,87.4,49.72,41.11,61.33,18.285,449
2025-02-19T00:00:00.000Z,4.57,77.8,43.31,7.82,59.67,24.58,498
2025-02-20T00:00:00.000Z,5.43,70.18,19.3,15.05,28.77,15.653,543
2025-02-21T00:00:00.000Z,11.27,78.93,45.53,32.35,64.03,19.266,531
2025-02-22T00:00:00.000Z,11.02,85.8,56.12,26.99,71.75,22.295,556
2025-02-23T00:00:00.000Z,3.15,94.1,24.35,10.56,45.03,20.196,568
2025-02-24T00:00:00.000Z,8.5,77.81,38.25,24.4,54.72,17.361,571
2025-02-25T00:00:00.000Z,4.95,51.7,26.28,12.57,36.85,13.272,568
2025-02-26T00:00:00.000Z,0.6,16.77,4.3,2.5,7,4.009,567
2025-02-27T00:00:00.000Z,2.38,35.13,15.67,6.1,23.9,9.256,402
2025-02-28T00:00:00.000Z,21.48,46.8,40.78,37.22,42.64,6.147,97
2025-03-01T00:00:00.000Z,20.83,79.59,40.86,36.08,47,10.651,372
2025-03-02T00:00:00.000Z,27.6,77.06,48.42,41.35,55.65,9.627,566
2025-03-03T00:00:00.000Z,1.65,31.63,6.22,3.97,10.38,7.59,561
2025-03-04T00:00:00.000Z,3,12.38,7.18,5.85,8.97,1.999,560
2025-03-05T00:00:00.000Z,1.48,45.92,14.92,8.13,19.05,7.579,536
2025-03-06T00:00:00.000Z,1.4,33.53,4.32,2,21.13,10.942,139
2025-03-07T00:00:00.000Z,0.5,29.25,6.55,1.67,12.8,7.543,415
2025-03-08T00:00:00.000Z,1.12,31.08,7.1,3.63,10.63,5.422,558
2025-03-09T00:00:00.000Z,0.82,31.88,3.89,2,7.55,5.456,550
2025-03-10T00:00:00.000Z,0.68,35.25,13.44,6.9,19.3,9.083,528
2025-03-11T00:00:00.000Z,1,42.85,15.1,8.44,21.1,8.908,567
2025-03-12T00:00:00.000Z,3.5,21.2,11.52,8.48,14.13,3.536,582
2025-03-13T00:00:00.000Z,7.57,39.03,18.87,13.27,21.63,7.215,358
2025-03-14T00:00:00.000Z,4.25,42.92,22.13,13.85,28.27,9.259,215
2025-03-15T00:00:00.000Z,4.53,7.03,6.53,5.35,6.82,0.847,7
2025-03-18T00:00:00.000Z,3.25,5.07,4.28,3.95,4.59,0.45,68
2025-03-19T00:00:00.000Z,2.8,73.9,15.51,8.84,24.48,9.413,584
2025-03-20T00:00:00.000Z,4.2,41.4,13.54,7.2,21.77,8.353,556
2025-03-21T00:00:00.000Z,2.75,40.2,12.32,7.24,18.44,7.093,353
2025-04-06T00:00:00.000Z,5.7,27.88,8.74,7.28,13.03,4.972,64
2025-04-07T00:00:00.000Z,0.52,18.2,3.92,2.36,5.46,3.408,324
